id,daily_times
10246,"{'lundi': ['21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
4265,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['17'], 'dimanche': []}"
4006,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['16'], 'samedi': [], 'dimanche': []}"
9107,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['24', '24'], 'dimanche': ['25', '25']}"
9385,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
4267,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['25']}"
8491,"{'lundi': ['21', '21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': ['20']}"
8492,"{'lundi': ['21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
7588,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
8988,"{'lundi': [], 'mardi': [], 'mercredi': ['2'], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
9518,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
11954,"{'lundi': ['21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
7350,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['15h-18h'], 'samedi': ['9h-18h'], 'dimanche': ['9h-18h']}"
9884,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['4', '11']}"
3914,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['15'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
9700,"{'lundi': [], 'mardi': [], 'mercredi': ['5', '19', '2', '9', '30'], 'jeudi': ['20'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
6055,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['10'], 'dimanche': []}"
9259,"{'lundi': ['21'], 'mardi': [], 'mercredi': ['16'], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
6530,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
3941,"{'lundi': ['21', '21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': ['20']}"
7215,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
4351,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['16'], 'samedi': [], 'dimanche': []}"
5559,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['10h-18h'], 'samedi': [], 'dimanche': []}"
7221,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
621,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
9342,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['10h-18h'], 'samedi': [], 'dimanche': []}"
2046,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
6414,"{'lundi': [], 'mardi': ['22'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
2677,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['18'], 'samedi': [], 'dimanche': []}"
3565,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['24'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
1424,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
10361,"{'lundi': [], 'mardi': ['15'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
536,"{'lundi': [], 'mardi': ['9h00-12h30'], 'mercredi': ['9h00-12h30'], 'jeudi': [], 'vendredi': ['4', '9h00-12h30'], 'samedi': ['9h00-12h30'], 'dimanche': []}"
1566,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['25', '22', '19'], 'samedi': [], 'dimanche': []}"
4332,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['10h-18h'], 'samedi': [], 'dimanche': []}"
3910,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
3840,"{'lundi': ['11'], 'mardi': ['11h-18h'], 'mercredi': ['11h-18h'], 'jeudi': ['11h-18h'], 'vendredi': ['1', '11h-18h'], 'samedi': ['11h-18h'], 'dimanche': ['11h-18h']}"
3860,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['3'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
3988,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
5135,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['19'], 'dimanche': []}"
1165,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['8'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
4410,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
6002,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['23'], 'dimanche': []}"
3992,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
3994,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['5'], 'dimanche': []}"
4000,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['11']}"
7680,"{'lundi': ['21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['20']}"
5541,"{'lundi': ['21'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
